id,Team_or_Opponent,Poss,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take_Ons,Succ_Take_Ons,Succ_percent_Take_Ons,Tkld_Take_Ons,Tkld_percent_Take_Ons,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,team_id,season_id
20,team,55.2,24816,2442,7838,11470,5730,819,24803,692,437,63.2,255,36.8,14443,77491,41859,737,558,185,545,336,17313,1608,93,1
20,team,55.2,24816,2442,7838,11470,5730,819,24803,692,437,63.2,255,36.8,14443,77491,41859,737,558,185,545,336,17313,1608,93,-2
21,opponent,57.3,23128,2076,6657,10894,5760,716,23124,565,368,65.1,197,34.9,12578,68210,35719,631,486,139,564,302,15191,1459,102,1
21,opponent,57.3,23128,2076,6657,10894,5760,716,23124,565,368,65.1,197,34.9,12578,68210,35719,631,486,139,564,302,15191,1459,102,-2
22,opponent,50.2,22248,2418,7572,9638,5254,664,22242,516,348,67.4,168,32.6,12496,63157,31372,590,465,121,558,294,14170,1366,6,1
22,opponent,50.2,22248,2418,7572,9638,5254,664,22242,516,348,67.4,168,32.6,12496,63157,31372,590,465,121,558,294,14170,1366,6,-2
23,opponent,47.6,22889,2326,6949,10656,5476,577,22885,631,335,53.1,296,46.9,12371,66054,32881,557,531,89,516,326,15032,1371,7,1
23,opponent,47.6,22889,2326,6949,10656,5476,577,22885,631,335,53.1,296,46.9,12371,66054,32881,557,531,89,516,326,15032,1371,7,-2
24,opponent,45.0,18886,2541,6990,8060,4069,606,18881,522,298,57.1,224,42.9,10362,57617,29498,529,402,127,534,275,11631,1027,10,1
24,opponent,45.0,18886,2541,6990,8060,4069,606,18881,522,298,57.1,224,42.9,10362,57617,29498,529,402,127,534,275,11631,1027,10,-2
25,opponent,46.1,20973,2317,7012,9391,4771,658,20963,556,345,62.1,210,37.8,11170,59835,30784,549,399,127,504,345,13078,1297,12,1
25,opponent,46.1,20973,2317,7012,9391,4771,658,20963,556,345,62.1,210,37.8,11170,59835,30784,549,399,127,504,345,13078,1297,12,-2
26,opponent,46.3,20852,1927,6118,9488,5452,714,20844,694,456,65.7,238,34.3,10958,56838,27075,578,431,139,637,424,12701,1231,19,1
26,opponent,46.3,20852,1927,6118,9488,5452,714,20844,694,456,65.7,238,34.3,10958,56838,27075,578,431,139,637,424,12701,1231,19,-2
27,opponent,65.7,26776,1848,6814,13117,7047,835,26766,607,360,59.3,247,40.7,15852,87217,48543,819,700,146,569,326,18860,1876,24,1
27,opponent,65.7,26776,1848,6814,13117,7047,835,26766,607,360,59.3,247,40.7,15852,87217,48543,819,700,146,569,326,18860,1876,24,-2
28,opponent,50.4,21668,2897,9306,8407,4147,603,21663,519,315,60.7,203,39.1,10496,51917,24895,446,317,125,544,311,12448,1036,101,1
28,opponent,50.4,21668,2897,9306,8407,4147,603,21663,519,315,60.7,203,39.1,10496,51917,24895,446,317,125,544,311,12448,1036,101,-2
29,opponent,52.4,22916,1668,5637,11435,6060,824,22906,577,367,63.6,210,36.4,14103,73909,40143,702,575,158,526,341,15540,1629,27,1
29,opponent,52.4,22916,1668,5637,11435,6060,824,22906,577,367,63.6,210,36.4,14103,73909,40143,702,575,158,526,341,15540,1629,27,-2
30,opponent,57.2,22842,2309,8032,10578,4424,496,22834,619,378,61.1,241,38.9,11476,56925,27910,454,333,87,600,338,13875,1180,34,1
30,opponent,57.2,22842,2309,8032,10578,4424,496,22834,619,378,61.1,241,38.9,11476,56925,27910,454,333,87,600,338,13875,1180,34,-2
31,opponent,59.0,23132,1938,6784,10742,5793,792,23121,468,283,60.5,186,39.7,12755,66716,33978,636,503,146,590,314,14910,1431,100,1
31,opponent,59.0,23132,1938,6784,10742,5793,792,23121,468,283,60.5,186,39.7,12755,66716,33978,636,503,146,590,314,14910,1431,100,-2
32,opponent,51.7,23060,2168,6650,10742,5873,741,23055,579,340,58.7,239,41.3,13410,66433,33323,657,476,141,563,317,15250,1433,103,1
32,opponent,51.7,23060,2168,6650,10742,5873,741,23055,579,340,58.7,239,41.3,13410,66433,33323,657,476,141,563,317,15250,1433,103,-2
33,opponent,47.6,20779,2106,6442,9287,5281,800,20775,543,335,61.7,209,38.5,11547,61632,32041,625,486,175,506,303,12939,1283,99,1
33,opponent,47.6,20779,2106,6442,9287,5281,800,20775,543,335,61.7,209,38.5,11547,61632,32041,625,486,175,506,303,12939,1283,99,-2
34,opponent,56.9,24102,2239,7544,11030,5720,776,24093,553,328,59.3,224,40.5,12972,68706,36474,678,529,178,594,300,15223,1510,67,1
34,opponent,56.9,24102,2239,7544,11030,5720,776,24093,553,328,59.3,224,40.5,12972,68706,36474,678,529,178,594,300,15223,1510,67,-2
35,opponent,40.3,20377,2548,6876,8894,4799,573,20369,532,340,63.9,192,36.1,11436,58738,30111,545,467,117,499,339,13087,1148,71,1
35,opponent,40.3,20377,2548,6876,8894,4799,573,20369,532,340,63.9,192,36.1,11436,58738,30111,545,467,117,499,339,13087,1148,71,-2
36,opponent,44.9,19586,2348,6984,8569,4222,579,19581,480,280,58.3,200,41.7,10251,51042,23267,436,319,115,525,347,11768,1002,72,1
36,opponent,44.9,19586,2348,6984,8569,4222,579,19581,480,280,58.3,200,41.7,10251,51042,23267,436,319,115,525,347,11768,1002,72,-2
37,opponent,55.0,18445,2148,6138,8069,4430,579,18439,510,326,63.9,184,36.1,9885,51469,25958,544,445,118,569,308,11114,1089,80,1
37,opponent,55.0,18445,2148,6138,8069,4430,579,18439,510,326,63.9,184,36.1,9885,51469,25958,544,445,118,569,308,11114,1089,80,-2
38,opponent,53.1,22473,1899,5948,10051,6698,894,22465,592,394,66.6,198,33.4,12588,65595,34073,713,564,163,465,265,14935,1630,91,1
