id,Team_or_Opponent,SCA_SCA,SCA90_SCA,PassLive_SCA_Types,PassDead_SCA_Types,TO_SCA_Types,Sh_SCA_Types,Fld_SCA_Types,Def_SCA_Types,GCA_GCA,GCA90_GCA,PassLive_GCA_Types,PassDead_GCA_Types,TO_GCA_Types,Sh_GCA_Types,Fld_GCA_Types,Def_GCA_Types,team_id,season_id
23,opponent,698,18.37,493,68,38,42,47,10,43,1.13,23,6,3,4,7,0,7,0
24,opponent,630,16.58,463,49,35,31,36,16,64,1.68,45,4,2,4,9,0,10,0
25,opponent,771,20.29,543,77,40,44,53,14,104,2.74,59,11,11,7,15,1,12,0
26,opponent,762,20.05,519,90,57,35,48,13,84,2.21,56,7,7,4,9,1,19,0
27,opponent,649,17.08,456,67,45,38,33,10,96,2.53,68,3,9,9,5,2,101,0
28,opponent,773,20.34,548,74,56,43,41,11,90,2.37,61,5,8,9,5,2,29,0
29,opponent,480,12.63,316,63,22,32,42,5,58,1.53,41,4,1,6,6,0,34,0
30,opponent,803,21.13,577,76,51,40,54,5,81,2.13,60,3,5,7,6,0,100,0
31,opponent,626,16.47,449,64,38,22,47,6,86,2.26,57,8,6,3,11,1,98,0
32,opponent,1013,26.66,737,98,47,60,55,16,87,2.29,64,10,4,5,4,0,99,0
33,opponent,873,22.97,662,69,47,43,42,10,109,2.87,74,5,9,6,13,2,54,0
34,opponent,731,19.24,504,68,59,38,48,14,89,2.34,59,5,11,5,7,2,67,0
35,opponent,583,15.34,398,69,38,33,37,8,44,1.16,27,2,6,5,2,2,71,0
36,opponent,697,18.34,479,84,50,32,44,8,84,2.21,56,5,8,5,9,1,72,0
37,opponent,645,16.97,426,68,46,37,56,12,52,1.37,26,7,4,5,8,2,80,0
38,opponent,1008,26.53,725,80,72,58,55,18,87,2.29,51,3,10,13,8,2,91,0
39,opponent,826,21.74,572,88,64,36,55,11,72,1.89,55,4,2,3,8,0,92,0
40,opponent,863,22.71,625,82,47,49,48,12,83,2.18,53,12,5,4,7,2,93,0
1,team,595,15.66,375,98,24,35,50,13,59,1.55,28,10,3,5,9,4,102,1
1,team,595,15.66,375,98,24,35,50,13,59,1.55,28,10,3,5,9,4,102,-2
2,team,723,19.03,539,66,37,25,43,13,73,1.92,52,5,3,5,7,1,6,1
2,team,723,19.03,539,66,37,25,43,13,73,1.92,52,5,3,5,7,1,6,-2
3,team,796,20.95,585,71,55,42,35,8,120,3.16,90,7,12,3,7,1,7,1
3,team,796,20.95,585,71,55,42,35,8,120,3.16,90,7,12,3,7,1,7,-2
4,team,1064,28.0,833,50,76,34,61,10,136,3.58,105,2,12,9,7,1,10,1
4,team,1064,28.0,833,50,76,34,61,10,136,3.58,105,2,12,9,7,1,10,-2
5,team,799,21.03,578,74,59,39,36,13,91,2.39,58,12,6,5,9,1,12,1
5,team,799,21.03,578,74,59,39,36,13,91,2.39,58,12,6,5,9,1,12,-2
6,team,624,16.42,460,51,31,36,38,8,98,2.58,69,6,5,6,10,2,19,1
6,team,624,16.42,460,51,31,36,38,8,98,2.58,69,6,5,6,10,2,19,-2
7,team,517,13.61,330,65,38,27,42,15,53,1.39,37,2,3,6,4,1,24,1
7,team,517,13.61,330,65,38,27,42,15,53,1.39,37,2,3,6,4,1,24,-2
8,team,758,19.95,503,88,49,52,51,15,48,1.26,30,3,6,4,2,3,101,1
8,team,758,19.95,503,88,49,52,51,15,48,1.26,30,3,6,4,2,3,101,-2
9,team,460,12.11,318,60,22,25,30,5,54,1.42,35,8,3,4,3,1,27,1
9,team,460,12.11,318,60,22,25,30,5,54,1.42,35,8,3,4,3,1,27,-2
10,team,618,16.26,413,70,37,37,52,9,38,1.0,22,0,6,6,4,0,34,1
10,team,618,16.26,413,70,37,37,52,9,38,1.0,22,0,6,6,4,0,34,-2
11,team,592,15.58,387,66,37,43,50,9,69,1.82,45,4,5,9,4,2,100,1
11,team,592,15.58,387,66,37,43,50,9,69,1.82,45,4,5,9,4,2,100,-2
12,team,719,18.92,517,71,44,34,43,10,56,1.47,41,6,2,4,1,2,103,1
12,team,719,18.92,517,71,44,34,43,10,56,1.47,41,6,2,4,1,2,103,-2
13,team,671,17.66,519,48,36,25,29,14,80,2.11,60,4,5,4,3,4,99,1
13,team,671,17.66,519,48,36,25,29,14,80,2.11,60,4,5,4,3,4,99,-2
14,team,615,16.18,441,70,31,35,30,8,61,1.61,45,4,0,6,3,3,67,1
14,team,615,16.18,441,70,31,35,30,8,61,1.61,45,4,0,6,3,3,67,-2
15,team,981,25.82,745,79,55,51,41,10,114,3.0,89,6,8,5,4,2,71,1
15,team,981,25.82,745,79,55,51,41,10,114,3.0,89,6,8,5,4,2,71,-2
16,team,749,19.71,532,76,35,45,48,13,100,2.63,72,9,2,9,8,0,72,1
16,team,749,19.71,532,76,35,45,48,13,100,2.63,72,9,2,9,8,0,72,-2
17,team,830,21.84,635,61,55,36,35,8,87,2.29,65,4,8,6,4,0,80,1
17,team,830,21.84,635,61,55,36,35,8,87,2.29,65,4,8,6,4,0,80,-2
18,team,687,18.08,482,58,47,34,59,7,86,2.26,58,10,5,5,8,0,91,1
18,team,687,18.08,482,58,47,34,59,7,86,2.26,58,10,5,5,8,0,91,-2
19,team,652,17.16,471,50,33,31,55,12,56,1.47,36,2,3,5,9,1,92,1
19,team,652,17.16,471,50,33,31,55,12,56,1.47,36,2,3,5,9,1,92,-2
20,team,742,19.53,576,46,49,27,37,7,99,2.61,69,3,12,7,7,1,93,1
20,team,742,19.53,576,46,49,27,37,7,99,2.61,69,3,12,7,7,1,93,-2
21,opponent,706,18.58,515,63,42,32,42,12,102,2.68,76,4,9,5,5,3,102,1
21,opponent,706,18.58,515,63,42,32,42,12,102,2.68,76,4,9,5,5,3,102,-2
22,opponent,671,17.66,499,62,40,24,39,7,74,1.95,50,9,2,3,8,2,6,1
22,opponent,671,17.66,499,62,40,24,39,7,74,1.95,50,9,2,3,8,2,6,-2
23,opponent,634,16.68,454,70,27,34,42,7,38,1.0,30,4,0,1,1,2,7,1
23,opponent,634,16.68,454,70,27,34,42,7,38,1.0,30,4,0,1,1,2,7,-2
24,opponent,564,14.84,405,46,40,31,27,15,61,1.61,38,5,5,3,7,3,10,1
24,opponent,564,14.84,405,46,40,31,27,15,61,1.61,38,5,5,3,7,3,10,-2
25,opponent,640,16.84,449,65,43,29,43,11,80,2.11,59,3,5,7,5,1,12,1
25,opponent,640,16.84,449,65,43,29,43,11,80,2.11,59,3,5,7,5,1,12,-2
26,opponent,715,18.82,486,71,58,31,56,13,93,2.45,63,4,5,9,8,4,19,1
26,opponent,715,18.82,486,71,58,31,56,13,93,2.45,63,4,5,9,8,4,19,-2
27,opponent,803,21.13,603,63,45,37,39,16,101,2.66,74,4,6,5,9,3,24,1
27,opponent,803,21.13,603,63,45,37,39,16,101,2.66,74,4,6,5,9,3,24,-2
