id,Competition_Name,Gender,Country,Team_or_Opponent,MP_Playing_Time,Starts_Playing_Time,Min_Playing_Time,Mins_Per_90_Playing_Time,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty_Kicks,PKA_Penalty_Kicks,PKsv_Penalty_Kicks,PKm_Penalty_Kicks,Save_percent_Penalty_Kicks,team_id,season_id
39,,,,opponent,38,38,3420,38,48,1.26,138,92,71.0,12,15,11,8,21.1,9,8,1,0,11.1,91,2
40,,,,opponent,38,38,3420,38,63,1.66,170,107,65.9,11,11,16,11,28.9,6,5,1,0,16.7,93,2
1,,,,team,38,38,3420,38,65,1.71,203,138,70.0,11,8,19,4,10.5,6,4,1,1,20.0,1,3
2,,,,team,38,38,3420,38,43,1.13,123,83,67.5,14,9,15,11,28.9,3,3,0,0,0.0,6,3
3,,,,team,38,38,3420,38,33,0.87,128,95,77.3,23,8,7,13,34.2,5,4,0,1,0.0,7,3
4,,,,team,38,38,3420,38,20,0.53,102,85,83.3,28,4,6,26,68.4,3,3,0,0,0.0,10,3
5,,,,team,38,38,3420,38,41,1.08,146,106,74.0,17,9,12,13,34.2,3,3,0,0,0.0,12,3
6,,,,team,38,38,3420,38,53,1.39,134,80,64.2,11,10,17,10,26.3,8,5,2,1,28.6,19,3
7,,,,team,38,38,3420,38,53,1.39,202,148,78.2,10,12,16,13,34.2,10,9,1,0,10.0,24,3
8,,,,team,38,38,3420,38,67,1.76,208,140,71.2,5,10,23,4,10.5,10,7,3,0,30.0,27,3
9,,,,team,38,38,3419,38,69,1.82,183,115,65.0,8,13,17,6,15.8,6,5,1,0,16.7,29,3
10,,,,team,38,38,3420,38,45,1.18,166,119,75.3,10,12,16,13,34.2,8,4,4,0,50.0,34,3
11,,,,team,38,38,3420,38,55,1.45,168,112,70.8,13,10,15,4,10.5,8,6,1,1,14.3,35,3
12,,,,team,38,38,3420,38,43,1.13,145,101,74.5,14,8,16,13,34.2,7,6,1,0,14.3,54,3
13,,,,team,38,38,3420,38,42,1.11,148,107,72.3,15,8,15,11,28.9,4,1,1,2,50.0,67,3
14,,,,team,38,38,3420,38,53,1.39,144,95,66.0,13,10,15,9,23.7,5,4,0,1,0.0,70,3
15,,,,team,38,38,3420,38,36,0.95,136,100,76.5,24,6,8,13,34.2,5,4,1,0,20.0,71,3
16,,,,team,38,38,3420,38,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50.0,72,3
17,,,,team,38,38,3420,38,54,1.42,161,109,67.7,13,10,15,9,23.7,3,2,1,0,33.3,80,3
18,,,,team,38,38,3420,38,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0,91,3
19,,,,team,38,38,3420,38,63,1.66,199,134,71.4,11,7,20,9,23.7,10,6,3,1,33.3,92,3
20,,,,team,38,38,3420,38,40,1.05,149,110,75.8,19,7,12,12,31.6,4,4,0,0,0.0,93,3
21,,,,opponent,38,38,3420,38,49,1.29,157,108,70.1,19,8,11,10,26.3,3,2,0,1,0.0,1,3
22,,,,opponent,38,38,3420,38,47,1.24,164,116,74.4,15,9,14,16,42.1,7,5,2,0,28.6,6,3
23,,,,opponent,38,38,3420,38,70,1.84,196,128,64.8,7,8,23,5,13.2,1,1,0,0,0.0,7,3
24,,,,opponent,38,38,3420,38,70,1.84,187,118,62.6,6,4,28,4,10.5,2,0,0,2,,10,3
25,,,,opponent,38,38,3420,38,46,1.21,147,103,74.1,12,9,17,13,34.2,9,8,1,0,11.1,12,3
26,,,,opponent,38,38,3420,38,43,1.13,163,121,74.8,17,10,11,10,26.3,3,2,1,0,33.3,19,3
27,,,,opponent,38,38,3420,38,30,0.79,112,83,76.8,16,12,10,17,44.7,5,4,0,1,0.0,24,3
28,,,,opponent,38,38,3420,38,30,0.79,129,98,79.8,23,10,5,16,42.1,5,4,1,0,20.0,27,3
29,,,,opponent,38,38,3420,38,52,1.37,156,105,69.9,17,13,8,4,10.5,5,5,0,0,0.0,29,3
30,,,,opponent,38,38,3420,38,34,0.89,123,87,76.4,16,12,10,14,36.8,8,5,2,1,28.6,34,3
31,,,,opponent,38,38,3420,38,58,1.53,169,113,70.4,15,10,13,8,21.1,9,8,1,0,11.1,35,3
32,,,,opponent,38,38,3420,38,37,0.97,112,75,70.5,16,8,14,13,34.2,5,4,1,0,20.0,54,3
33,,,,opponent,38,38,3420,38,37,0.97,137,101,75.9,15,8,15,15,39.5,5,4,0,1,0.0,67,3
34,,,,opponent,38,38,3420,38,45,1.18,153,109,73.2,15,10,13,10,26.3,8,4,3,1,42.9,70,3
35,,,,opponent,38,38,3419,38,75,1.97,217,142,69.6,8,6,24,5,13.2,12,9,2,1,18.2,71,3
36,,,,opponent,38,38,3420,38,51,1.34,177,128,72.3,9,8,21,9,23.7,4,2,2,0,50.0,72,3
37,,,,opponent,38,38,3420,38,47,1.24,145,98,70.3,15,10,13,7,18.4,5,4,0,1,0.0,80,3
38,,,,opponent,38,38,3420,38,42,1.11,147,105,74.8,18,9,11,12,31.6,8,5,2,1,28.6,91,3
39,,,,opponent,38,38,3420,38,33,0.87,141,108,78.7,20,7,11,18,47.4,4,3,1,0,25.0,92,3
40,,,,opponent,38,38,3420,38,59,1.55,194,135,71.6,12,7,19,9,23.7,7,4,2,1,33.3,93,3
1,,,,team,38,38,3420,38,46,1.21,147,103,74.1,12,10,16,11,28.9,8,8,0,0,0.0,102,4
2,,,,team,38,38,3420,38,75,1.97,202,126,65.8,3,12,23,6,15.8,9,6,1,2,14.3,1,4
3,,,,team,38,38,3420,38,37,0.97,134,98,73.1,19,11,8,18,47.4,5,1,3,1,75.0,6,4
4,,,,team,38,38,3420,38,43,1.13,144,101,70.8,24,4,10,13,34.2,2,1,0,1,0.0,7,4
5,,,,team,38,38,3420,38,44,1.16,141,97,70.2,26,7,5,17,44.7,2,2,0,0,0.0,10,4
6,,,,team,38,38,3420,38,45,1.18,158,115,75.9,14,15,9,13,34.2,8,7,1,0,12.5,12,4
7,,,,team,38,38,3417,38,57,1.5,164,109,68.9,10,11,17,6,15.8,8,6,1,1,14.3,19,4
8,,,,team,38,38,3420,38,55,1.45,175,121,69.7,6,15,17,10,26.3,2,2,0,0,0.0,24,4
9,,,,team,38,38,3420,38,54,1.42,173,118,71.7,10,13,15,10,26.3,7,5,1,1,16.7,34,4
10,,,,team,38,38,3420,38,46,1.21,168,121,75.6,25,6,7,12,31.6,7,5,1,1,16.7,35,4
11,,,,team,38,38,3420,38,79,2.08,203,126,63.5,4,9,25,3,7.9,6,5,0,1,0.0,100,4
12,,,,team,38,38,3416,38,47,1.24,156,109,73.1,10,10,18,8,21.1,9,5,3,1,37.5,104,4
13,,,,team,38,38,3420,38,44,1.16,148,104,73.0,8,16,14,10,26.3,5,4,1,0,20.0,54,4
14,,,,team,38,38,3420,38,56,1.47,152,95,63.8,12,9,17,10,26.3,2,1,1,0,50.0,67,4
15,,,,team,38,38,3420,38,48,1.26,151,104,68.9,8,14,16,13,34.2,2,1,1,0,50.0,70,4
16,,,,team,38,38,3420,38,26,0.68,118,93,78.8,29,8,1,21,55.3,1,1,0,0,0.0,71,4
17,,,,team,38,38,3417,38,39,1.03,135,96,75.6,16,12,10,15,39.5,7,6,1,0,14.3,72,4
18,,,,team,38,38,3420,38,54,1.42,175,123,72.0,10,11,17,8,21.1,5,5,0,0,0.0,80,4
