id,Team_or_Opponent,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxGPlus_Minus_Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att (GK)_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal_Kicks,Launch_percent_Goal_Kicks,AvgLen_Goal_Kicks,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,team_id,season_id,Mins_Per_90
11,team,65,6,2,4,1,61.9,0.31,-2.1,-0.05,310,848,36.6,944,79,62.6,46.5,316,81.3,56.1,546,12,2.2,62,1.63,18.0,100,-2,38.0
12,team,53,5,1,10,2,48.2,0.29,-2.8,-0.07,188,508,37.0,1077,187,35.7,34.2,298,41.6,38.3,539,16,3.0,34,0.89,13.4,103,1,38.0
12,team,53,5,1,10,2,48.2,0.29,-2.8,-0.07,188,508,37.0,1077,187,35.7,34.2,298,41.6,38.3,539,16,3.0,34,0.89,13.4,103,-2,38.0
13,team,57,3,1,6,2,50.0,0.29,-5.0,-0.13,136,382,35.6,936,197,32.4,32.2,282,28.0,29.6,533,8,1.5,71,1.87,18.2,99,1,38.0
13,team,57,3,1,6,2,50.0,0.29,-5.0,-0.13,136,382,35.6,936,197,32.4,32.2,282,28.0,29.6,533,8,1.5,71,1.87,18.2,99,-2,38.0
14,team,48,5,0,5,2,47.0,0.3,1.0,0.03,441,996,44.3,995,92,71.5,48.0,302,94.4,61.3,600,30,5.0,76,2.0,17.5,67,1,38.0
14,team,48,5,0,5,2,47.0,0.3,1.0,0.03,441,996,44.3,995,92,71.5,48.0,302,94.4,61.3,600,30,5.0,76,2.0,17.5,67,-2,38.0
15,team,28,7,0,3,1,32.7,0.22,5.7,0.15,89,300,29.7,1086,243,20.6,29.6,235,32.3,36.6,472,26,5.5,44,1.16,15.7,71,1,38.0
15,team,28,7,0,3,1,32.7,0.22,5.7,0.15,89,300,29.7,1086,243,20.6,29.6,235,32.3,36.6,472,26,5.5,44,1.16,15.7,71,-2,38.0
16,team,38,3,0,4,1,35.0,0.3,-2.0,-0.05,204,520,39.2,998,132,38.2,35.1,217,64.1,49.7,415,9,2.2,47,1.24,17.3,72,1,38.0
16,team,38,3,0,4,1,35.0,0.3,-2.0,-0.05,204,520,39.2,998,132,38.2,35.1,217,64.1,49.7,415,9,2.2,47,1.24,17.3,72,-2,38.0
17,team,33,4,0,4,2,33.5,0.24,2.5,0.07,183,418,43.8,1012,169,29.8,29.2,228,50.9,39.7,512,30,5.9,36,0.95,11.2,80,1,38.0
17,team,33,4,0,4,2,33.5,0.24,2.5,0.07,183,418,43.8,1012,169,29.8,29.2,228,50.9,39.7,512,30,5.9,36,0.95,11.2,80,-2,38.0
18,team,53,5,3,5,2,48.2,0.24,-2.8,-0.07,291,664,43.8,871,145,49.1,36.6,338,69.8,50.4,655,11,1.7,31,0.82,13.4,91,1,38.0
18,team,53,5,3,5,2,48.2,0.24,-2.8,-0.07,291,664,43.8,871,145,49.1,36.6,338,69.8,50.4,655,11,1.7,31,0.82,13.4,91,-2,38.0
19,team,57,6,1,5,0,53.4,0.3,-3.6,-0.1,251,810,31.0,877,133,61.1,43.2,332,82.5,58.3,578,7,1.2,28,0.74,14.9,92,1,38.0
19,team,57,6,1,5,0,53.4,0.3,-3.6,-0.1,251,810,31.0,877,133,61.1,43.2,332,82.5,58.3,578,7,1.2,28,0.74,14.9,92,-2,38.0
20,team,44,7,0,3,2,38.7,0.25,-3.3,-0.09,167,431,38.7,1098,208,26.0,30.2,304,48.0,40.5,597,28,4.7,32,0.84,13.9,93,1,38.0
20,team,44,7,0,3,2,38.7,0.25,-3.3,-0.09,167,431,38.7,1098,208,26.0,30.2,304,48.0,40.5,597,28,4.7,32,0.84,13.9,93,-2,38.0
21,opponent,36,5,2,2,1,35.4,0.29,0.4,0.01,223,618,36.1,1010,154,45.0,37.5,240,68.3,50.7,496,16,3.2,51,1.34,17.8,102,1,38.0
21,opponent,36,5,2,2,1,35.4,0.29,0.4,0.01,223,618,36.1,1010,154,45.0,37.5,240,68.3,50.7,496,16,3.2,51,1.34,17.8,102,-2,38.0
22,opponent,46,4,1,4,3,39.7,0.27,-3.3,-0.09,254,666,38.1,1016,160,44.3,37.9,306,70.6,50.8,609,16,2.6,42,1.11,15.3,6,1,38.0
22,opponent,46,4,1,4,3,39.7,0.27,-3.3,-0.09,254,666,38.1,1016,160,44.3,37.9,306,70.6,50.8,609,16,2.6,42,1.11,15.3,6,-2,38.0
23,opponent,67,5,1,6,2,59.8,0.3,-5.2,-0.14,204,549,37.2,955,160,42.4,36.3,290,49.7,42.2,446,18,4.0,41,1.08,15.3,7,1,38.0
23,opponent,67,5,1,6,2,59.8,0.3,-5.2,-0.14,204,549,37.2,955,160,42.4,36.3,290,49.7,42.2,446,18,4.0,41,1.08,15.3,7,-2,38.0
24,opponent,85,4,3,4,5,77.8,0.31,-2.2,-0.06,225,586,38.4,862,137,46.8,37.9,314,58.3,45.7,355,18,5.1,32,0.84,12.3,10,1,38.0
24,opponent,85,4,3,4,5,77.8,0.31,-2.2,-0.06,225,586,38.4,862,137,46.8,37.9,314,58.3,45.7,355,18,5.1,32,0.84,12.3,10,-2,38.0
25,opponent,50,8,1,9,0,51.0,0.26,1.0,0.03,201,526,38.2,1047,146,37.7,35.0,265,49.4,40.8,454,15,3.3,36,0.95,15.9,12,1,38.0
25,opponent,50,8,1,9,0,51.0,0.26,1.0,0.03,201,526,38.2,1047,146,37.7,35.0,265,49.4,40.8,454,15,3.3,36,0.95,15.9,12,-2,38.0
26,opponent,55,7,1,4,0,50.5,0.31,-4.5,-0.12,267,615,43.4,946,132,48.7,39.7,222,69.4,49.7,416,13,3.1,36,0.95,15.8,19,1,38.0
26,opponent,55,7,1,4,0,50.5,0.31,-4.5,-0.12,267,615,43.4,946,132,48.7,39.7,222,69.4,49.7,416,13,3.1,36,0.95,15.8,19,-2,38.0
27,opponent,36,4,0,5,3,35.2,0.32,2.2,0.06,146,351,41.6,790,166,30.4,31.2,232,47.8,40.9,549,26,4.7,49,1.29,15.9,24,1,38.0
27,opponent,36,4,0,5,3,35.2,0.32,2.2,0.06,146,351,41.6,790,166,30.4,31.2,232,47.8,40.9,549,26,4.7,49,1.29,15.9,24,-2,38.0
28,opponent,29,4,0,5,0,38.5,0.23,9.5,0.25,350,898,39.0,1184,154,54.8,39.7,373,66.8,49.7,822,20,2.4,32,0.84,12.6,101,1,38.0
28,opponent,29,4,0,5,0,38.5,0.23,9.5,0.25,350,898,39.0,1184,154,54.8,39.7,373,66.8,49.7,822,20,2.4,32,0.84,12.6,101,-2,38.0
29,opponent,34,2,0,5,1,31.9,0.34,-1.1,-0.03,175,402,43.5,819,138,34.9,33.7,208,55.8,44.7,509,16,3.1,47,1.24,16.6,27,1,38.0
29,opponent,34,2,0,5,1,31.9,0.34,-1.1,-0.03,175,402,43.5,819,138,34.9,33.7,208,55.8,44.7,509,16,3.1,47,1.24,16.6,27,-2,38.0
